product_name,brand,price,category_code,sub_category,description,mood_code_number,image_name,filter_color,filter_style,filter_space,mood_code,discount_rate,discount_price,is_popular,is_new,is_best
GLOSTAD 글로스타드 2인용소파 - 크니사 다크그레이,Mood Code,140000,SOFA,2인용,"GLOSTAD 글로스타드 소파는 심플한 디자인을 자랑하며, 두툼한 시트와 푹신한 팔걸이, 부드러운 등쿠션이 제자리에 고정되어 있어 편안한 착석감을 선사해요. 소파의 무게가 가벼워 집에서 가구를 재배치하거나 새 집으로 이사할 때 쉽게 옮길 수 있습니다. 완만하게 경사진 다리는 소파의 안정성을 높여주고 개성 있는 느낌을 선사합니다. 나사 8개만으로 쉽고 빠르게 조립할 수 있도록 설계되었습니다. 작고 귀여운 소파로 좁은 공간에도 잘 어울립니다. 커버를 벗길 수 없습니다.",,104.890.09.jpg,그레이,spring,living,spring,10,126000,False,False,False
GLOSTAD 글로스타드 2인용소파 - 크니사 미디엄블루,Mood Code,140000,SOFA,2인용,"GLOSTAD 글로스타드 소파는 심플한 디자인을 자랑하며, 두툼한 시트와 푹신한 팔걸이, 부드러운 등쿠션이 제자리에 고정되어 있어 편안한 착석감을 선사해요. 소파의 무게가 가벼워 집에서 가구를 재배치하거나 새 집으로 이사할 때 쉽게 옮길 수 있습니다. 완만하게 경사진 다리는 소파의 안정성을 높여주고 개성 있는 느낌을 선사합니다. 나사 8개만으로 쉽고 빠르게 조립할 수 있도록 설계되었습니다. 작고 귀여운 소파로 좁은 공간에도 잘 어울립니다. 커버를 벗길 수 없습니다.",,004.888.21.jpg,블루,spring,living,spring,10,126000,False,False,False
EKTORP 엑토르프 2인용소파 - 실란다 라이트베이지,Mood Code,479000,SOFA,2인용,등받이 쿠션은 폴리에스테르섬유 충전재를 사용하여 편안하며 각각 다른 느낌의 양면을 번갈아 사용할 수 있습니다. 시트쿠션에 고탄력폼과 폴리에스테르섬유 충전재를 넣어서 앉았을 때 편안하고 복원력이 뛰어납니다. 멜란지 효과가 들어간 KILANDA 실란다 패브릭은 소재의 90% 이상이 재활용 폴리에스테르이며 표면이 부드럽습니다. 커버는 분리하여 물세탁이 가능하기 때문에 오랫동안 깨끗하게 사용할 수 있습니다. 10년 품질보증. 자세한 내용은 품질보증 브로슈어를 참조하세요.,,295.090.26.jpg,라이트베이지,spring,living,spring,10,431100,False,False,False
EKTORP 엑토르프 2인용소파 - 칼스호브 베이지/멀티컬러,Mood Code,529000,SOFA,2인용,"등받이 쿠션은 폴리에스테르섬유 충전재를 사용하여 편안하며 각각 다른 느낌의 양면을 번갈아 사용할 수 있습니다. 시트쿠션에 고탄력폼과 폴리에스테르섬유 충전재를 넣어서 앉았을 때 편안하고 복원력이 뛰어납니다. 내구성이 우수한 커버는 선염 100% 면 패브릭인 칼스호브로 만들었고, 클래식한 스트라이프 패턴으로 장식했어요. 천연 소재로 만들어 피부에 닿는 패브릭의 감촉이 부드럽죠. 커버는 세탁기로 빨아 쓸 수 있으며 간편하게 벗겨내고 다시 씌울 수 있어 관리하기가 편합니다.",,595.090.20.jpg,베이지,spring,living,spring,10,476100,False,False,False
EKTORP 엑토르프 2인용소파 - 하케보 그레이그린,Mood Code,429000,SOFA,2인용,등받이 쿠션은 폴리에스테르섬유 충전재를 사용하여 편안하며 각각 다른 느낌의 양면을 번갈아 사용할 수 있습니다. 시트쿠션에 고탄력폼과 폴리에스테르섬유 충전재를 넣어서 앉았을 때 편안하고 복원력이 뛰어납니다. HAKEBO 하케보 커버는 부드럽고 매끈한 느낌으로 질감이 우수해 소파를 더욱 편안하고 친근하게 만들어 줍니다. 커버는 분리하여 물세탁이 가능하기 때문에 오랫동안 깨끗하게 사용할 수 있습니다. 여러 가지 커버 중에서 집과 잘 어울리고 마음에 드는 커버를 선택할 수 있죠.,,195.090.17.jpg,그레이그린,spring,living,spring,10,386100,False,False,False
EKTORP 엑토르프 2인용소파 - 실란다 다크블루,Mood Code,479000,SOFA,2인용,등받이 쿠션은 폴리에스테르섬유 충전재를 사용하여 편안하며 각각 다른 느낌의 양면을 번갈아 사용할 수 있습니다. 시트쿠션에 고탄력폼과 폴리에스테르섬유 충전재를 넣어서 앉았을 때 편안하고 복원력이 뛰어납니다. 멜란지 효과가 들어간 KILANDA 실란다 패브릭은 소재의 90% 이상이 재활용 폴리에스테르이며 표면이 부드럽습니다. 커버는 분리하여 물세탁이 가능하기 때문에 오랫동안 깨끗하게 사용할 수 있습니다. 여러 가지 커버 중에서 집과 잘 어울리고 마음에 드는 커버를 선택할 수 있죠.,,995.090.23.jpg,블루,spring,living,spring,10,431100,False,False,False
EKTORP 엑토르프 2인용소파 - 하케보 다크그레이,Mood Code,429000,SOFA,2인용,등받이 쿠션은 폴리에스테르섬유 충전재를 사용하여 편안하며 각각 다른 느낌의 양면을 번갈아 사용할 수 있습니다. 시트쿠션에 고탄력폼과 폴리에스테르섬유 충전재를 넣어서 앉았을 때 편안하고 복원력이 뛰어납니다. HAKEBO 하케보 커버는 부드럽고 매끈한 느낌으로 질감이 우수해 소파를 더욱 편안하고 친근하게 만들어 줍니다. 커버는 분리하여 물세탁이 가능하기 때문에 오랫동안 깨끗하게 사용할 수 있습니다. 여러 가지 커버 중에서 집과 잘 어울리고 마음에 드는 커버를 선택할 수 있죠.,,895.090.14.jpg,그레이,spring,living,spring,10,386100,False,False,False
DYVLINGE 뒤블링에 회전라운지체어 - 셸링에 그린,Mood Code,249000,SOFA,기타소파,다양한 Mood Code의 클래식 아이템이 새로운 모습으로 재탄생한 Nytillverkad 뉘틸베르카드 컬렉션의 일부예요. DYVLINGE 뒤블링에 회전 이지체어는 1967년 Mood Code 카탈로그에 MILA 밀라라는 이름으로 출시되었어요. 그 당시에도 몸 전체의 긴장을 자연스럽게 풀 수 있는 자세로 앉을 수 있는 제품이었죠. Nytillverkad 뉘틸베르카드 컬렉션으로 다시 돌아온 이 이지체어의 지지대에는 4개가 아닌 5개의 다리를 적용해 넘어질 위험을 최소화했어요.,,705.708.36.jpg,그린,spring,living,spring,10,224100,False,False,False
DYVLINGE 뒤블링에 회전라운지체어 - 셸링에 베이지,Mood Code,249000,SOFA,기타소파,"DYVLINGE 뒤블링에 회전 이지체어는 1967년 Mood Code 카탈로그에 MILA 밀라라는 이름으로 출시되었어요. 그 당시에도 몸 전체의 긴장을 자연스럽게 풀 수 있는 자세로 앉을 수 있는 제품이었죠. Nytillverkad 뉘틸베르카드 컬렉션으로 다시 돌아온 이 이지체어의 지지대에는 4개가 아닌 5개의 다리를 적용해 넘어질 위험을 최소화했어요. 넓은 시트, 살짝 젖혀진 등받이, 회전 기능 덕분에 나에게 딱 맞는 편안한 앉은 자세를 쉽게 찾을 수 있습니다.",,406.238.60.jpg,베이지,spring,living,spring,10,224100,False,False,False
DYVLINGE 뒤블링에 회전라운지체어 - 셸링에 블랙,Mood Code,249000,SOFA,기타소파,다양한 Mood Code의 클래식 아이템이 새로운 모습으로 재탄생한 Nytillverkad 뉘틸베르카드 컬렉션의 일부예요. DYVLINGE 뒤블링에 회전 이지체어는 1967년 Mood Code 카탈로그에 MILA 밀라라는 이름으로 출시되었어요. 그 당시에도 몸 전체의 긴장을 자연스럽게 풀 수 있는 자세로 앉을 수 있는 제품이었죠. Nytillverkad 뉘틸베르카드 컬렉션으로 다시 돌아온 이 이지체어의 지지대에는 4개가 아닌 5개의 다리를 적용해 넘어질 위험을 최소화했어요.,,205.708.29.jpg,블랙,spring,living,spring,10,224100,False,False,False
